scope,model,mode,comparison,targets,judgments,sha256
shared_349,openai/gpt-5.6-sol,adaptive,no_cue_vs_ai_safety_researcher,349,349,ce4bc9a27f275064aaca16c09a77a8f99b568132fb639d1805e71ad00859694c
five_roles_matched,anthropic/claude-opus-4.6,static,all_five_roles,874,874,ed293a862c3a494da0bb9a768e4b20c4847a7865744470c7bedd72bfdb18cf2e
five_roles_matched,anthropic/claude-opus-4.6,adaptive,all_five_roles,266,266,2056a27a595cc3340a319142def0bc3d9d0f2736c19d48c24d19371f55f3fe8c
five_roles_matched,openai/gpt-5.6-sol,static,all_five_roles,918,918,c88bb6ad6e5355a64e5ded7e9fd29ad714af811db0aff70a1816e827f11b5226
five_roles_matched,openai/gpt-5.6-sol,adaptive,all_five_roles,585,585,4b9bee70fc48491165027fa67c676a70fefc8622654aacad608a14d7b2284901
five_roles_matched,deepseek/deepseek-v4-pro,static,all_five_roles,507,507,703128811270e03c71429ce512d795d46d709ec2a1194a2d0dbe25c1bbb46d43
five_roles_matched,deepseek/deepseek-v4-pro,adaptive,all_five_roles,168,168,ce9509eb3a2dd768fc6739574efc73d9a2f864428f3bbd184720ba64e3679db9
five_roles_matched,deepseek/deepseek-v4-flash,static,all_five_roles,817,817,5589a664af54b0df14a88b2e39d623686f5f18f5660abd21e49c06284cf996e5
five_roles_matched,deepseek/deepseek-v4-flash,adaptive,all_five_roles,354,354,fe5503f3c842d4459f7af9c3deb648a3ea0886f922ddf6d981caa11f4e96bea3
five_roles_matched,qwen/qwen3-235b-a22b,static,all_five_roles,823,823,e050ad8eb3880137ff6aa159ed6625de7abb3445e10ec9abea5cb7191892facf
five_roles_matched,qwen/qwen3-235b-a22b,adaptive,all_five_roles,348,348,702b6bbc5f8d68f9b2bfaf28032b1a32e0b7cf349496be9a9077d9a17090b353
five_roles_matched,qwen/qwen3-32b,static,all_five_roles,824,824,8afa2abbd46d049355122b4793c29e498f3c593a72e59badfc708ff1cb26006b
five_roles_matched,qwen/qwen3-32b,adaptive,all_five_roles,350,350,4ac674c6d539a750da815b152cabe7bb8ee7ce938b58a0e15914c586f99f1855
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|paraphrase_light,736,705,40cf7ef1bc792a33c410980a53b99af7305be9cd4f15bd37f67de15a868f0ad9
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|paraphrase_medium,736,705,40cf7ef1bc792a33c410980a53b99af7305be9cd4f15bd37f67de15a868f0ad9
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|paraphrase_heavy,736,705,40cf7ef1bc792a33c410980a53b99af7305be9cd4f15bd37f67de15a868f0ad9
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|state_swap_US,564,542,5afbe3381051120081c7cb379160d4369d2635d6c7fb3717c98fcdae2611ad27
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|state_swap_Russia,564,542,5afbe3381051120081c7cb379160d4369d2635d6c7fb3717c98fcdae2611ad27
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|state_swap_Ukraine,564,542,5afbe3381051120081c7cb379160d4369d2635d6c7fb3717c98fcdae2611ad27
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|persuasion_static_no_cue,645,645,f93fbc85bf6395303a4ad536dcd404d188031814787f8fa9cae4a7297905decf
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|persuasion_static_ai_safety_researcher,645,645,f93fbc85bf6395303a4ad536dcd404d188031814787f8fa9cae4a7297905decf
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|persuasion_adaptive_no_cue,379,379,b8c184f871bed8ef229eb08a3e7aeb3b335507115527f3ecf18a67441b3766e2
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,summary|persuasion_adaptive_ai_safety_researcher,379,379,b8c184f871bed8ef229eb08a3e7aeb3b335507115527f3ecf18a67441b3766e2
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_light|state_swap_US,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_light|state_swap_Russia,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_light|state_swap_Ukraine,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_light|persuasion_static_no_cue,646,646,13c36750903a46355f71a6631af1d6df171aa7481138d5f20696de3ad3d64eed
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_light|persuasion_static_ai_safety_researcher,646,646,13c36750903a46355f71a6631af1d6df171aa7481138d5f20696de3ad3d64eed
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_light|persuasion_adaptive_no_cue,380,380,1a2a5512bad3dabb02b2dbbd49da201da10439a9897d1e9c13da43652b03c843
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_light|persuasion_adaptive_ai_safety_researcher,380,380,1a2a5512bad3dabb02b2dbbd49da201da10439a9897d1e9c13da43652b03c843
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_medium|state_swap_US,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_medium|state_swap_Russia,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_medium|state_swap_Ukraine,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_medium|persuasion_static_no_cue,646,646,13c36750903a46355f71a6631af1d6df171aa7481138d5f20696de3ad3d64eed
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_medium|persuasion_static_ai_safety_researcher,646,646,13c36750903a46355f71a6631af1d6df171aa7481138d5f20696de3ad3d64eed
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_medium|persuasion_adaptive_no_cue,380,380,1a2a5512bad3dabb02b2dbbd49da201da10439a9897d1e9c13da43652b03c843
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_medium|persuasion_adaptive_ai_safety_researcher,380,380,1a2a5512bad3dabb02b2dbbd49da201da10439a9897d1e9c13da43652b03c843
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_heavy|state_swap_US,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_heavy|state_swap_Russia,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_heavy|state_swap_Ukraine,570,548,d7967a1dac60e0243990272c6c813e70f04982d00a97b96de8b3cca5c0f4dfc7
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_heavy|persuasion_static_no_cue,646,646,13c36750903a46355f71a6631af1d6df171aa7481138d5f20696de3ad3d64eed
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_heavy|persuasion_static_ai_safety_researcher,646,646,13c36750903a46355f71a6631af1d6df171aa7481138d5f20696de3ad3d64eed
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_heavy|persuasion_adaptive_no_cue,380,380,1a2a5512bad3dabb02b2dbbd49da201da10439a9897d1e9c13da43652b03c843
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,paraphrase_heavy|persuasion_adaptive_ai_safety_researcher,380,380,1a2a5512bad3dabb02b2dbbd49da201da10439a9897d1e9c13da43652b03c843
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_US|persuasion_static_no_cue,545,545,be1d1ff2f8961b7cc1eb693e8212e8366a9e1a25cd131ca1abbcf21b95703453
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_US|persuasion_static_ai_safety_researcher,545,545,be1d1ff2f8961b7cc1eb693e8212e8366a9e1a25cd131ca1abbcf21b95703453
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_US|persuasion_adaptive_no_cue,309,309,a5d55ec37572f1b32ac7fc0fbf995f2e49ff1d1411eb1c41a81c1684e7a3f9fa
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_US|persuasion_adaptive_ai_safety_researcher,309,309,a5d55ec37572f1b32ac7fc0fbf995f2e49ff1d1411eb1c41a81c1684e7a3f9fa
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_Russia|persuasion_static_no_cue,545,545,be1d1ff2f8961b7cc1eb693e8212e8366a9e1a25cd131ca1abbcf21b95703453
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_Russia|persuasion_static_ai_safety_researcher,545,545,be1d1ff2f8961b7cc1eb693e8212e8366a9e1a25cd131ca1abbcf21b95703453
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_Russia|persuasion_adaptive_no_cue,309,309,a5d55ec37572f1b32ac7fc0fbf995f2e49ff1d1411eb1c41a81c1684e7a3f9fa
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_Russia|persuasion_adaptive_ai_safety_researcher,309,309,a5d55ec37572f1b32ac7fc0fbf995f2e49ff1d1411eb1c41a81c1684e7a3f9fa
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_Ukraine|persuasion_static_no_cue,545,545,be1d1ff2f8961b7cc1eb693e8212e8366a9e1a25cd131ca1abbcf21b95703453
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_Ukraine|persuasion_static_ai_safety_researcher,545,545,be1d1ff2f8961b7cc1eb693e8212e8366a9e1a25cd131ca1abbcf21b95703453
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_Ukraine|persuasion_adaptive_no_cue,309,309,a5d55ec37572f1b32ac7fc0fbf995f2e49ff1d1411eb1c41a81c1684e7a3f9fa
cross_perturbation,anthropic/claude-opus-4.6,suite_specific,state_swap_Ukraine|persuasion_adaptive_ai_safety_researcher,309,309,a5d55ec37572f1b32ac7fc0fbf995f2e49ff1d1411eb1c41a81c1684e7a3f9fa
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|paraphrase_light,824,791,892e612721cf8a20e3c4d4d906b9acf9e2373d6886c87acfa94a132de2474297
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|paraphrase_medium,824,791,892e612721cf8a20e3c4d4d906b9acf9e2373d6886c87acfa94a132de2474297
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|paraphrase_heavy,824,791,892e612721cf8a20e3c4d4d906b9acf9e2373d6886c87acfa94a132de2474297
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|state_swap_US,659,636,0868554a904b113fd62595674bcec13cfadb7e6a1fb71dd6cfd61b5c922d6a8b
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|state_swap_Russia,659,636,0868554a904b113fd62595674bcec13cfadb7e6a1fb71dd6cfd61b5c922d6a8b
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|state_swap_Ukraine,659,636,0868554a904b113fd62595674bcec13cfadb7e6a1fb71dd6cfd61b5c922d6a8b
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|persuasion_static_no_cue,741,741,76fea29876e537277b73fd772454c24505b6e446a2f52bfaab3bb61d6fe0c60d
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|persuasion_static_ai_safety_researcher,741,741,76fea29876e537277b73fd772454c24505b6e446a2f52bfaab3bb61d6fe0c60d
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|persuasion_adaptive_no_cue,605,605,21c924bab481e28635a23a8ae37c3a82303938d2d4b6b861204a7c76b80fc878
cross_perturbation,openai/gpt-5.6-sol,suite_specific,summary|persuasion_adaptive_ai_safety_researcher,605,605,21c924bab481e28635a23a8ae37c3a82303938d2d4b6b861204a7c76b80fc878
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_light|state_swap_US,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_light|state_swap_Russia,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_light|state_swap_Ukraine,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_light|persuasion_static_no_cue,740,740,a249061a92b06c6fce1f19f774063742479ffc2abb6e3c442627b73dc6642103
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_light|persuasion_static_ai_safety_researcher,740,740,a249061a92b06c6fce1f19f774063742479ffc2abb6e3c442627b73dc6642103
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_light|persuasion_adaptive_no_cue,603,603,361ad032abf2651256edcb07ef4be70be810f2403425cb8a4735376155e98586
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_light|persuasion_adaptive_ai_safety_researcher,603,603,361ad032abf2651256edcb07ef4be70be810f2403425cb8a4735376155e98586
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_medium|state_swap_US,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_medium|state_swap_Russia,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_medium|state_swap_Ukraine,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_medium|persuasion_static_no_cue,740,740,a249061a92b06c6fce1f19f774063742479ffc2abb6e3c442627b73dc6642103
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_medium|persuasion_static_ai_safety_researcher,740,740,a249061a92b06c6fce1f19f774063742479ffc2abb6e3c442627b73dc6642103
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_medium|persuasion_adaptive_no_cue,603,603,361ad032abf2651256edcb07ef4be70be810f2403425cb8a4735376155e98586
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_medium|persuasion_adaptive_ai_safety_researcher,603,603,361ad032abf2651256edcb07ef4be70be810f2403425cb8a4735376155e98586
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_heavy|state_swap_US,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_heavy|state_swap_Russia,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_heavy|state_swap_Ukraine,662,639,3abdf126471474f4ac7f484dba31bf24c4207ab672e1210311459a8e5dec1e92
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_heavy|persuasion_static_no_cue,740,740,a249061a92b06c6fce1f19f774063742479ffc2abb6e3c442627b73dc6642103
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_heavy|persuasion_static_ai_safety_researcher,740,740,a249061a92b06c6fce1f19f774063742479ffc2abb6e3c442627b73dc6642103
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_heavy|persuasion_adaptive_no_cue,603,603,361ad032abf2651256edcb07ef4be70be810f2403425cb8a4735376155e98586
cross_perturbation,openai/gpt-5.6-sol,suite_specific,paraphrase_heavy|persuasion_adaptive_ai_safety_researcher,603,603,361ad032abf2651256edcb07ef4be70be810f2403425cb8a4735376155e98586
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_US|persuasion_static_no_cue,614,614,33a8336d5a0fc5686acd1d82da2009d88855f48cf60fa84853e7468283b4c346
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_US|persuasion_static_ai_safety_researcher,614,614,33a8336d5a0fc5686acd1d82da2009d88855f48cf60fa84853e7468283b4c346
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_US|persuasion_adaptive_no_cue,494,494,08f649f372c4dc66d217c591b99b8e7083f7a4c302a456567474946e71502abb
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_US|persuasion_adaptive_ai_safety_researcher,494,494,08f649f372c4dc66d217c591b99b8e7083f7a4c302a456567474946e71502abb
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_Russia|persuasion_static_no_cue,614,614,33a8336d5a0fc5686acd1d82da2009d88855f48cf60fa84853e7468283b4c346
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_Russia|persuasion_static_ai_safety_researcher,614,614,33a8336d5a0fc5686acd1d82da2009d88855f48cf60fa84853e7468283b4c346
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_Russia|persuasion_adaptive_no_cue,494,494,08f649f372c4dc66d217c591b99b8e7083f7a4c302a456567474946e71502abb
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_Russia|persuasion_adaptive_ai_safety_researcher,494,494,08f649f372c4dc66d217c591b99b8e7083f7a4c302a456567474946e71502abb
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_Ukraine|persuasion_static_no_cue,614,614,33a8336d5a0fc5686acd1d82da2009d88855f48cf60fa84853e7468283b4c346
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_Ukraine|persuasion_static_ai_safety_researcher,614,614,33a8336d5a0fc5686acd1d82da2009d88855f48cf60fa84853e7468283b4c346
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_Ukraine|persuasion_adaptive_no_cue,494,494,08f649f372c4dc66d217c591b99b8e7083f7a4c302a456567474946e71502abb
cross_perturbation,openai/gpt-5.6-sol,suite_specific,state_swap_Ukraine|persuasion_adaptive_ai_safety_researcher,494,494,08f649f372c4dc66d217c591b99b8e7083f7a4c302a456567474946e71502abb
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|paraphrase_light,680,656,0484d350d3a9abd16fe70202f9738378c88321be547c9d53b9772bbe33a4bd68
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|paraphrase_medium,676,652,0e911ebf5efe04cb97f0130376b01e23d867011fed5513f5dbbbd38093163a79
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|paraphrase_heavy,678,654,4465860a5f027b0fa29d3ce93628e52ee551ba36f68f03cbefaa3600810e6f90
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|state_swap_US,551,531,16ae2ea313d120137dbb342efb48bc869095868437318e6977463944aaadd382
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|state_swap_Russia,551,531,16ae2ea313d120137dbb342efb48bc869095868437318e6977463944aaadd382
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|state_swap_Ukraine,551,531,16ae2ea313d120137dbb342efb48bc869095868437318e6977463944aaadd382
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|persuasion_static_no_cue,437,437,e4ed55b0300390560a0b6a209403b4a3e0b959f3409b66de44f3fc585711a961
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|persuasion_static_ai_safety_researcher,437,437,e4ed55b0300390560a0b6a209403b4a3e0b959f3409b66de44f3fc585711a961
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|persuasion_adaptive_no_cue,276,276,83a44276fa20e664335cc5770e3a3727c11218bc0e73e6c2d5a4fe2b3d5a4025
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,summary|persuasion_adaptive_ai_safety_researcher,276,276,83a44276fa20e664335cc5770e3a3727c11218bc0e73e6c2d5a4fe2b3d5a4025
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_light|state_swap_US,555,536,b4f61a0f6039c9d2fad444d78626fb3689232c6176912418b99d053f4d0c7ef0
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_light|state_swap_Russia,555,536,b4f61a0f6039c9d2fad444d78626fb3689232c6176912418b99d053f4d0c7ef0
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_light|state_swap_Ukraine,555,536,b4f61a0f6039c9d2fad444d78626fb3689232c6176912418b99d053f4d0c7ef0
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_light|persuasion_static_no_cue,436,436,1badb07586ef0e49a074ee79df941fb49bce22a8ddca50b8b9f248d86e40c4b2
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_light|persuasion_static_ai_safety_researcher,436,436,1badb07586ef0e49a074ee79df941fb49bce22a8ddca50b8b9f248d86e40c4b2
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_light|persuasion_adaptive_no_cue,274,274,bb75daf27a45de6328db8d1bdfb9d60fb7bb9d253b4b3b02df94e18c279a7c05
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_light|persuasion_adaptive_ai_safety_researcher,274,274,bb75daf27a45de6328db8d1bdfb9d60fb7bb9d253b4b3b02df94e18c279a7c05
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_medium|state_swap_US,553,534,46db5d2fae77940cebf587ad2c72149580c3ef93af7795a0509eca4b0bf81240
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_medium|state_swap_Russia,553,534,46db5d2fae77940cebf587ad2c72149580c3ef93af7795a0509eca4b0bf81240
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_medium|state_swap_Ukraine,553,534,46db5d2fae77940cebf587ad2c72149580c3ef93af7795a0509eca4b0bf81240
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_medium|persuasion_static_no_cue,434,434,7a2053aeb9ca431931a55579bd6d3419ab4c8fba6c621d46686d7ae11a74d5e5
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_medium|persuasion_static_ai_safety_researcher,434,434,7a2053aeb9ca431931a55579bd6d3419ab4c8fba6c621d46686d7ae11a74d5e5
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_medium|persuasion_adaptive_no_cue,273,273,48b269c55a1431bf322712fa02ccad400580b2556df0761cbe0cfc37afae5add
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_medium|persuasion_adaptive_ai_safety_researcher,273,273,48b269c55a1431bf322712fa02ccad400580b2556df0761cbe0cfc37afae5add
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_heavy|state_swap_US,554,535,eeefc042e3ed877f7cc03c0be3c32804d5598b6f4f30e9e000fdf6f539e944b6
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_heavy|state_swap_Russia,554,535,eeefc042e3ed877f7cc03c0be3c32804d5598b6f4f30e9e000fdf6f539e944b6
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_heavy|state_swap_Ukraine,554,535,eeefc042e3ed877f7cc03c0be3c32804d5598b6f4f30e9e000fdf6f539e944b6
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_heavy|persuasion_static_no_cue,437,437,61724185855ee713877dc0390aeb769e6614833bd538b66ee903dc1dba3d65cf
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_heavy|persuasion_static_ai_safety_researcher,437,437,61724185855ee713877dc0390aeb769e6614833bd538b66ee903dc1dba3d65cf
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_heavy|persuasion_adaptive_no_cue,274,274,d423055ccaf5d014f5d03e7d72c645a1a5393175773ef3d689fa146b36947834
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,paraphrase_heavy|persuasion_adaptive_ai_safety_researcher,274,274,d423055ccaf5d014f5d03e7d72c645a1a5393175773ef3d689fa146b36947834
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,state_swap_US|persuasion_static_no_cue,365,365,0fd7413b3ea77d79ea2741f54cc191b5921aaacf788e2a247898fe03a66fb61d
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,state_swap_US|persuasion_static_ai_safety_researcher,365,365,0fd7413b3ea77d79ea2741f54cc191b5921aaacf788e2a247898fe03a66fb61d
cross_perturbation,deepseek/deepseek-v4-pro,suite_specific,state_swap_US|persuasion_adaptive_no_cue,215,215,dd242dc5236255d57745d38b64f4044daa066165746c609dc75180350c4d9fb4
