model,family,arm,path,records,valid_means,missing_means,abstentions,unparsed_ratings,complete_ten_ratings,saved_plurality_differs_from_mean
anthropic/claude-opus-4.6,stateswap,Ukraine,data/experiments/stateswap_summary/anthropic_claude-opus-4.6/stateswap_summary_results.jsonl,1000,1000,0,78,0,1000,0
anthropic/claude-opus-4.6,stateswap,US,data/experiments/stateswap_summary/anthropic_claude-opus-4.6/stateswap_summary_results.jsonl,1000,1000,0,78,0,1000,0
anthropic/claude-opus-4.6,stateswap,Russia,data/experiments/stateswap_summary/anthropic_claude-opus-4.6/stateswap_summary_results.jsonl,1000,1000,0,83,0,1000,0
openai/gpt-5.6-sol,full_record,default,data/experiments/unified_fullcase_latest/openai_gpt-5_6-sol/baseline.jsonl,1000,1000,0,21,0,1000,13
openai/gpt-5.6-sol,summary,default,data/experiments/unified_fullcase_latest/openai_gpt-5_6-sol/rq1.jsonl,1000,1000,0,45,0,1000,31
openai/gpt-5.6-sol,paraphrase,light,data/experiments/paraphrase/openai_gpt-5.6-sol/paraphrase_results.jsonl,1000,1000,0,26,4,998,0
openai/gpt-5.6-sol,paraphrase,medium,data/experiments/paraphrase/openai_gpt-5.6-sol/paraphrase_results.jsonl,1000,1000,0,22,2,998,0
openai/gpt-5.6-sol,paraphrase,heavy,data/experiments/paraphrase/openai_gpt-5.6-sol/paraphrase_results.jsonl,1000,1000,0,23,6,996,0
openai/gpt-5.6-sol,paraphrase,original,data/experiments/paraphrase/openai_gpt-5.6-sol/paraphrase_results.jsonl,1000,1000,0,21,3,997,0
openai/gpt-5.6-sol,stateswap,original,data/experiments/stateswap_summary/openai_gpt-5.6-sol/stateswap_summary_results.jsonl,1000,1000,0,35,7,993,0
openai/gpt-5.6-sol,stateswap,Russia,data/experiments/stateswap_summary/openai_gpt-5.6-sol/stateswap_summary_results.jsonl,1000,1000,0,39,5,995,0
openai/gpt-5.6-sol,stateswap,Ukraine,data/experiments/stateswap_summary/openai_gpt-5.6-sol/stateswap_summary_results.jsonl,1000,1000,0,30,5,996,0
openai/gpt-5.6-sol,stateswap,US,data/experiments/stateswap_summary/openai_gpt-5.6-sol/stateswap_summary_results.jsonl,1000,1000,0,60,12,988,0
deepseek/deepseek-v4-pro,full_record,default,data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-pro/baseline.jsonl,1000,1000,0,89,0,1000,57
deepseek/deepseek-v4-pro,summary,default,data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-pro/rq1.jsonl,1000,1000,0,96,1,999,72
deepseek/deepseek-v4-pro,paraphrase,original,data/experiments/paraphrase/deepseek_deepseek-v4-pro/paraphrase_results.jsonl,1000,990,10,71,1135,597,0
deepseek/deepseek-v4-pro,paraphrase,heavy,data/experiments/paraphrase/deepseek_deepseek-v4-pro/paraphrase_results.jsonl,1000,992,8,62,1106,600,0
deepseek/deepseek-v4-pro,paraphrase,light,data/experiments/paraphrase/deepseek_deepseek-v4-pro/paraphrase_results.jsonl,1000,995,5,66,1154,569,0
deepseek/deepseek-v4-pro,paraphrase,medium,data/experiments/paraphrase/deepseek_deepseek-v4-pro/paraphrase_results.jsonl,1000,990,10,67,1165,560,0
deepseek/deepseek-v4-pro,stateswap,original,data/experiments/stateswap_summary/deepseek_deepseek-v4-pro/stateswap_summary_results.jsonl,1000,1000,0,71,1167,559,0
deepseek/deepseek-v4-pro,stateswap,Russia,data/experiments/stateswap_summary/deepseek_deepseek-v4-pro/stateswap_summary_results.jsonl,1000,1000,0,71,1666,490,0
deepseek/deepseek-v4-pro,stateswap,Ukraine,data/experiments/stateswap_summary/deepseek_deepseek-v4-pro/stateswap_summary_results.jsonl,1000,1000,0,64,1518,483,0
deepseek/deepseek-v4-pro,stateswap,US,data/experiments/stateswap_summary/deepseek_deepseek-v4-pro/stateswap_summary_results.jsonl,1000,1000,0,102,1860,412,0
deepseek/deepseek-v4-flash,full_record,default,data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-flash/baseline.jsonl,1000,1000,0,52,0,1000,51
deepseek/deepseek-v4-flash,summary,default,data/experiments/unified_fullcase_latest/deepseek_deepseek-v4-flash/rq1.jsonl,1000,1000,0,61,0,1000,44
deepseek/deepseek-v4-flash,paraphrase,original,data/experiments/paraphrase/deepseek_deepseek-v4-flash/paraphrase_results.jsonl,1000,1000,0,59,314,902,0
deepseek/deepseek-v4-flash,paraphrase,light,data/experiments/paraphrase/deepseek_deepseek-v4-flash/paraphrase_results.jsonl,1000,1000,0,62,274,904,0
deepseek/deepseek-v4-flash,paraphrase,heavy,data/experiments/paraphrase/deepseek_deepseek-v4-flash/paraphrase_results.jsonl,1000,999,1,62,251,914,0
deepseek/deepseek-v4-flash,paraphrase,medium,data/experiments/paraphrase/deepseek_deepseek-v4-flash/paraphrase_results.jsonl,1000,999,1,62,220,933,0
deepseek/deepseek-v4-flash,stateswap,US,data/experiments/stateswap_summary/deepseek_deepseek-v4-flash/stateswap_summary_results.jsonl,1000,1000,0,124,69,942,0
deepseek/deepseek-v4-flash,stateswap,original,data/experiments/stateswap_summary/deepseek_deepseek-v4-flash/stateswap_summary_results.jsonl,1000,1000,0,52,48,961,0
deepseek/deepseek-v4-flash,stateswap,Ukraine,data/experiments/stateswap_summary/deepseek_deepseek-v4-flash/stateswap_summary_results.jsonl,1000,1000,0,67,62,948,0
deepseek/deepseek-v4-flash,stateswap,Russia,data/experiments/stateswap_summary/deepseek_deepseek-v4-flash/stateswap_summary_results.jsonl,1000,1000,0,60,71,943,0
qwen/qwen3-235b-a22b,full_record,default,data/experiments/unified_fullcase_latest/qwen_qwen3-235b-a22b/baseline.jsonl,1000,1000,0,146,0,1000,74
qwen/qwen3-235b-a22b,summary,default,data/experiments/unified_fullcase_latest/qwen_qwen3-235b-a22b/rq1.jsonl,1000,1000,0,137,1,999,61
qwen/qwen3-235b-a22b,paraphrase,heavy,data/experiments/paraphrase/qwen_qwen3-235b-a22b/paraphrase_results.jsonl,1000,1000,0,131,129,900,0
qwen/qwen3-235b-a22b,paraphrase,original,data/experiments/paraphrase/qwen_qwen3-235b-a22b/paraphrase_results.jsonl,1000,1000,0,127,139,900,0
qwen/qwen3-235b-a22b,paraphrase,light,data/experiments/paraphrase/qwen_qwen3-235b-a22b/paraphrase_results.jsonl,1000,1000,0,141,138,901,0
qwen/qwen3-235b-a22b,paraphrase,medium,data/experiments/paraphrase/qwen_qwen3-235b-a22b/paraphrase_results.jsonl,1000,1000,0,148,144,896,0
qwen/qwen3-235b-a22b,stateswap,original,data/experiments/stateswap_summary/qwen_qwen3-235b-a22b/stateswap_summary_results.jsonl,1000,1000,0,123,236,919,0
qwen/qwen3-235b-a22b,stateswap,Ukraine,data/experiments/stateswap_summary/qwen_qwen3-235b-a22b/stateswap_summary_results.jsonl,1000,1000,0,121,98,965,0
qwen/qwen3-235b-a22b,stateswap,Russia,data/experiments/stateswap_summary/qwen_qwen3-235b-a22b/stateswap_summary_results.jsonl,1000,1000,0,106,100,965,0
qwen/qwen3-235b-a22b,stateswap,US,data/experiments/stateswap_summary/qwen_qwen3-235b-a22b/stateswap_summary_results.jsonl,1000,1000,0,149,92,965,0
qwen/qwen3-32b,full_record,default,data/experiments/unified_fullcase_latest/qwen_qwen3-32b/baseline.jsonl,1000,1000,0,85,0,1000,70
qwen/qwen3-32b,summary,default,data/experiments/unified_fullcase_latest/qwen_qwen3-32b/rq1.jsonl,1000,1000,0,86,3,997,66
qwen/qwen3-32b,paraphrase,medium,data/experiments/paraphrase/qwen_qwen3-32b/paraphrase_results.jsonl,1000,1000,0,68,67,950,0
qwen/qwen3-32b,paraphrase,light,data/experiments/paraphrase/qwen_qwen3-32b/paraphrase_results.jsonl,1000,1000,0,71,50,954,0
qwen/qwen3-32b,paraphrase,original,data/experiments/paraphrase/qwen_qwen3-32b/paraphrase_results.jsonl,1000,1000,0,80,60,947,0
qwen/qwen3-32b,paraphrase,heavy,data/experiments/paraphrase/qwen_qwen3-32b/paraphrase_results.jsonl,1000,1000,0,81,68,943,0
qwen/qwen3-32b,stateswap,original,data/experiments/stateswap_summary/qwen_qwen3-32b/stateswap_summary_results.jsonl,1000,1000,0,78,42,964,0
qwen/qwen3-32b,stateswap,US,data/experiments/stateswap_summary/qwen_qwen3-32b/stateswap_summary_results.jsonl,1000,1000,0,124,99,925,0
qwen/qwen3-32b,stateswap,Ukraine,data/experiments/stateswap_summary/qwen_qwen3-32b/stateswap_summary_results.jsonl,1000,1000,0,68,51,955,0
qwen/qwen3-32b,stateswap,Russia,data/experiments/stateswap_summary/qwen_qwen3-32b/stateswap_summary_results.jsonl,1000,1000,0,83,62,953,0
