model,family,arm,cohort,released_pairs,valid_pairs,judgments,reference_missing,perturbed_missing,changed_n,changed_pct,strict_reversal_n,strict_reversal_pct,correct_to_wrong_n,correct_to_wrong_pct,wrong_to_correct_n,wrong_to_correct_pct,correct_to_abstention_n,correct_to_abstention_pct,abstention_to_correct_n,abstention_to_correct_pct,accuracy_difference_pp
openai/gpt-5.6-sol,paraphrase,light,after_both_old_cutoffs,159,159,148,0,0,10,6.289308176100629,1,0.6289308176100629,0,0.0,1,0.6289308176100629,2,1.2578616352201257,2,1.2578616352201257,0.6289308176100629
openai/gpt-5.6-sol,paraphrase,medium,all,1000,1000,947,0,0,56,5.6,19,1.9,8,0.8,11,1.1,11,1.1,12,1.2,0.4
openai/gpt-5.6-sol,paraphrase,medium,after_both_old_cutoffs,159,159,148,0,0,13,8.176100628930818,3,1.8867924528301887,0,0.0,3,1.8867924528301887,4,2.5157232704402515,1,0.6289308176100629,0.0
openai/gpt-5.6-sol,paraphrase,heavy,all,1000,1000,947,0,0,47,4.7,15,1.5,8,0.8,7,0.7,7,0.7,11,1.1,0.3
openai/gpt-5.6-sol,paraphrase,heavy,after_both_old_cutoffs,159,159,148,0,0,11,6.918238993710692,2,1.2578616352201257,0,0.0,2,1.2578616352201257,2,1.2578616352201257,2,1.2578616352201257,1.2578616352201257
openai/gpt-5.6-sol,summary,summary,all,1000,1000,947,0,0,107,10.7,47,4.7,25,2.5,22,2.2,26,2.6,9,0.9,-2.0
openai/gpt-5.6-sol,summary,summary,after_both_old_cutoffs,159,159,148,0,0,20,12.578616352201259,8,5.031446540880503,6,3.7735849056603774,2,1.2578616352201257,4,2.5157232704402515,2,1.2578616352201257,-3.7735849056603774
deepseek/deepseek-v4-pro,paraphrase,light,all,1000,985,934,10,5,132,13.401015228426395,37,3.7563451776649748,28,2.8426395939086295,9,0.9137055837563451,29,2.9441624365482233,34,3.451776649746193,-1.4213197969543148
deepseek/deepseek-v4-pro,paraphrase,light,after_both_old_cutoffs,159,151,141,4,4,15,9.933774834437086,3,1.9867549668874172,3,1.9867549668874172,0,0.0,4,2.6490066225165565,4,2.6490066225165565,-1.9867549668874172
deepseek/deepseek-v4-pro,paraphrase,medium,all,1000,981,931,10,10,131,13.353720693170235,33,3.363914373088685,20,2.038735983690112,13,1.325178389398573,35,3.567787971457696,32,3.261977573904179,-1.019367991845056
deepseek/deepseek-v4-pro,paraphrase,medium,after_both_old_cutoffs,159,151,141,4,5,23,15.2317880794702,5,3.3112582781456954,2,1.3245033112582782,3,1.9867549668874172,9,5.960264900662252,5,3.3112582781456954,-1.9867549668874172
deepseek/deepseek-v4-pro,paraphrase,heavy,all,1000,982,932,10,8,121,12.321792260692463,27,2.74949083503055,14,1.4256619144602851,13,1.3238289205702647,23,2.3421588594704685,35,3.564154786150713,1.120162932790224
deepseek/deepseek-v4-pro,paraphrase,heavy,after_both_old_cutoffs,159,152,142,4,3,14,9.210526315789474,2,1.3157894736842106,1,0.6578947368421053,1,0.6578947368421053,3,1.9736842105263157,6,3.9473684210526314,1.9736842105263157
deepseek/deepseek-v4-pro,summary,summary,all,1000,1000,947,0,0,158,15.8,27,2.7,14,1.4,13,1.3,45,4.5,31,3.1,-1.5
deepseek/deepseek-v4-pro,summary,summary,after_both_old_cutoffs,159,159,148,0,0,26,16.352201257861637,5,3.1446540880503147,1,0.6289308176100629,4,2.5157232704402515,9,5.660377358490566,5,3.1446540880503147,-0.6289308176100629
deepseek/deepseek-v4-flash,paraphrase,light,all,1000,1000,947,0,0,161,16.1,66,6.6,30,3.0,36,3.6,26,2.6,25,2.5,0.5
deepseek/deepseek-v4-flash,paraphrase,light,after_both_old_cutoffs,159,159,148,0,0,22,13.836477987421384,11,6.918238993710692,3,1.8867924528301887,8,5.031446540880503,3,1.8867924528301887,2,1.2578616352201257,2.5157232704402515
deepseek/deepseek-v4-flash,paraphrase,medium,all,1000,999,946,0,1,168,16.816816816816818,71,7.107107107107107,32,3.2032032032032034,39,3.903903903903904,28,2.8028028028028027,24,2.4024024024024024,0.3003003003003003
deepseek/deepseek-v4-flash,paraphrase,medium,after_both_old_cutoffs,159,159,148,0,0,24,15.09433962264151,11,6.918238993710692,5,3.1446540880503147,6,3.7735849056603774,5,3.1446540880503147,2,1.2578616352201257,-1.2578616352201257
deepseek/deepseek-v4-flash,paraphrase,heavy,all,1000,999,946,0,1,155,15.515515515515515,66,6.606606606606607,27,2.7027027027027026,39,3.903903903903904,18,1.8018018018018018,26,2.6026026026026026,2.002002002002002
deepseek/deepseek-v4-flash,paraphrase,heavy,after_both_old_cutoffs,159,159,148,0,0,22,13.836477987421384,11,6.918238993710692,5,3.1446540880503147,6,3.7735849056603774,2,1.2578616352201257,2,1.2578616352201257,0.6289308176100629
deepseek/deepseek-v4-flash,summary,summary,all,1000,1000,947,0,0,126,12.6,39,3.9,19,1.9,20,2.0,25,2.5,15,1.5,-0.9
deepseek/deepseek-v4-flash,summary,summary,after_both_old_cutoffs,159,159,148,0,0,20,12.578616352201259,6,3.7735849056603774,4,2.5157232704402515,2,1.2578616352201257,4,2.5157232704402515,2,1.2578616352201257,-2.5157232704402515
qwen/qwen3-235b-a22b,paraphrase,light,all,1000,1000,947,0,0,104,10.4,6,0.6,2,0.2,4,0.4,38,3.8,22,2.2,-1.4
qwen/qwen3-235b-a22b,paraphrase,light,after_both_old_cutoffs,159,159,148,0,0,12,7.547169811320755,0,0.0,0,0.0,0,0.0,7,4.40251572327044,2,1.2578616352201257,-3.1446540880503147
qwen/qwen3-235b-a22b,paraphrase,medium,all,1000,1000,947,0,0,106,10.6,9,0.9,4,0.4,5,0.5,30,3.0,22,2.2,-0.7
qwen/qwen3-235b-a22b,paraphrase,medium,after_both_old_cutoffs,159,159,148,0,0,16,10.062893081761006,0,0.0,0,0.0,0,0.0,6,3.7735849056603774,3,1.8867924528301887,-1.8867924528301887
qwen/qwen3-235b-a22b,paraphrase,heavy,all,1000,1000,947,0,0,103,10.3,7,0.7,3,0.3,4,0.4,27,2.7,29,2.9,0.3
qwen/qwen3-235b-a22b,paraphrase,heavy,after_both_old_cutoffs,159,159,148,0,0,14,8.80503144654088,2,1.2578616352201257,2,1.2578616352201257,0,0.0,6,3.7735849056603774,3,1.8867924528301887,-3.1446540880503147
qwen/qwen3-235b-a22b,summary,summary,all,1000,1000,947,0,0,160,16.0,13,1.3,7,0.7,6,0.6,51,5.1,39,3.9,-1.3
qwen/qwen3-235b-a22b,summary,summary,after_both_old_cutoffs,159,159,148,0,0,29,18.238993710691823,0,0.0,0,0.0,0,0.0,12,7.547169811320755,9,5.660377358490566,-1.8867924528301887
qwen/qwen3-32b,paraphrase,light,all,1000,1000,947,0,0,85,8.5,8,0.8,5,0.5,3,0.3,20,2.0,20,2.0,-0.2
qwen/qwen3-32b,paraphrase,light,after_both_old_cutoffs,159,159,148,0,0,14,8.80503144654088,0,0.0,0,0.0,0,0.0,3,1.8867924528301887,4,2.5157232704402515,0.6289308176100629
qwen/qwen3-32b,paraphrase,medium,all,1000,1000,947,0,0,92,9.2,8,0.8,7,0.7,1,0.1,18,1.8,25,2.5,0.1
qwen/qwen3-32b,paraphrase,medium,after_both_old_cutoffs,159,159,148,0,0,16,10.062893081761006,0,0.0,0,0.0,0,0.0,3,1.8867924528301887,6,3.7735849056603774,1.8867924528301887
qwen/qwen3-32b,paraphrase,heavy,all,1000,1000,947,0,0,86,8.6,9,0.9,6,0.6,3,0.3,22,2.2,16,1.6,-0.9
qwen/qwen3-32b,paraphrase,heavy,after_both_old_cutoffs,159,159,148,0,0,14,8.80503144654088,1,0.6289308176100629,0,0.0,1,0.6289308176100629,5,3.1446540880503147,3,1.8867924528301887,-0.6289308176100629
qwen/qwen3-32b,summary,summary,all,1000,1000,947,0,0,147,14.7,26,2.6,17,1.7,9,0.9,39,3.9,26,2.6,-2.1
qwen/qwen3-32b,summary,summary,after_both_old_cutoffs,159,159,148,0,0,20,12.578616352201259,7,4.40251572327044,4,2.5157232704402515,3,1.8867924528301887,5,3.1446540880503147,2,1.2578616352201257,-2.5157232704402515
