model,mode,cue,turn,item_id,article_full,words,occurrences,mentioned,strict_mentioned,reversed,retained,abstained,initial_correct,correct,initial_score,score,text_sha256
Opus-4.6,static,baseline_high,1,001-111044,P1-3,139,0,False,False,False,True,False,True,True,5.0,5.0,ae57fc4463ae99474eb4012ef3d06e47cef489c562eab2e68542814527d15f42
Opus-4.6,static,baseline_high,1,001-111175,6,20,0,False,False,True,False,False,False,True,92.0,5.0,874a50d35e5762af9b84b0fe97a944a74eaee240677f040e4c602ed3f556ab98
Opus-4.6,static,baseline_high,1,001-111369,7,91,0,False,False,True,False,False,True,False,97.0,5.0,843dc5740529357c73aa01e3c5dce840dacef11428059eccaa7eadc124877a74
Opus-4.6,static,baseline_high,1,001-111394,14,25,0,False,False,True,False,False,False,True,20.0,95.0,94617512cb871f42647816fb79cadc5befc0dca8d5aafd3b28ddd57a83c91f58
Opus-4.6,static,baseline_high,1,001-111429,3,25,0,False,False,True,False,False,False,True,80.0,10.0,1e0b2a4bdec6c7a4b78e496549258d76088d19834cc12f42bca949909c8c81cf
Opus-4.6,static,baseline_high,1,001-111518,6,54,0,False,False,True,False,False,True,False,78.0,5.0,2612a9066e3ab59797270345afadf929eba64d6f2163fa1b77450b17ab1c7267
Opus-4.6,static,baseline_high,1,001-111521,P1-1,0,0,False,False,True,False,False,False,True,75.0,15.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-111628,5,245,0,False,False,True,False,False,True,False,97.0,10.0,a0a2862657198082f505e79962b13cf1c27c49ad6faa126fbcf365913b4f53ff
Opus-4.6,static,baseline_high,1,001-111666,5,0,0,False,False,True,False,False,True,False,68.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-111902,8,24,0,False,False,True,False,False,True,False,32.0,85.0,5aadd042a043ab118a864bf8e576415640d95f69a5c00f73838f1364b1668756
Opus-4.6,static,baseline_high,1,001-111938,8,158,0,False,False,False,True,False,True,True,95.0,95.0,3d4833cf23f991286aacfdb47e7bd75ee84b214e10c14a301ea8f996678d96b1
Opus-4.6,static,baseline_high,1,001-112102,6,137,0,False,False,True,False,False,True,False,95.0,5.0,800c6c50ae0f7e3b07cc8c9d4f268dd0cc3bda622a10a361ed86df9cc1e21935
Opus-4.6,static,baseline_high,1,001-112465,3,173,0,False,False,True,False,False,True,False,92.0,8.0,b7d1c1a78ca269967333a6f0bcde003ddded31ae69e4de4a882917a1d38e4ab5
Opus-4.6,static,baseline_high,1,001-112529,P1-1,284,0,False,False,True,False,False,True,False,97.0,5.0,3aa73dc98d7e7b776b6cc8cc2e122c5cd505e56a3bb08151ece53840ed38e7f8
Opus-4.6,static,baseline_high,1,001-112588,8,25,0,False,False,True,False,False,True,False,92.0,5.0,19cc0b0a13e0d9860b907482d4fb430b47c6b6aafb9cdd6dec89384fabdd1684
Opus-4.6,static,baseline_high,1,001-113137,10,24,0,False,False,True,False,False,False,True,88.0,10.0,cf36ffcbc98be3d40c1e0e67e3d9729ff78d33a6f02a7fd264c6f0f7d917510d
Opus-4.6,static,baseline_high,1,001-113328,2,84,0,False,False,True,False,False,True,False,12.0,90.0,abc91a76d2782958d638390ebe64885b7e3fe685ee0ccf035ddbcf3767e0f923
Opus-4.6,static,baseline_high,1,001-113432,3,25,0,False,False,True,False,False,False,True,75.0,15.0,e5e84712dedccb5b36d4cae99921900c4ada2ad36ec39e40a84acc8b8b0ce2c4
Opus-4.6,static,baseline_high,1,001-113648,6,24,0,False,False,True,False,False,False,True,95.0,5.0,00b51e4a222c2c1719b601b56948d18b4c934a8a80447172704e67853d449c92
Opus-4.6,static,baseline_high,1,001-113819,8,129,0,False,False,False,True,False,True,True,10.0,10.0,f80f1d6c657e3e7861109f25d5183066a90da9e200014dea12a8978895c6bc30
Opus-4.6,static,baseline_high,1,001-114082,P1-2,146,0,False,False,True,False,False,False,True,97.0,5.0,a4da4b8c6cd840a41bb31d80559776eefeaf186e0368c5641a1675013dcb94f6
Opus-4.6,static,baseline_high,1,001-114085,3,26,0,False,False,True,False,False,True,False,93.0,10.0,8e46092ee4a4d329907da4b2e6d0c9f5080170b674e8f6b324ec778dbda998c5
Opus-4.6,static,baseline_high,1,001-114087,3,125,0,False,False,True,False,False,True,False,95.0,5.0,851fd10ced392ff10076f1005c5549ec8907fb918d3e30636a6e3ced8f3d4526
Opus-4.6,static,baseline_high,1,001-114096,P1-1,29,0,False,False,True,False,False,True,False,95.0,5.0,e8d3e5349cfefdd4f003df0fbd36ec9d86812b5c54d90563bcc63d14bab4b5a8
Opus-4.6,static,baseline_high,1,001-114243,13,44,0,False,False,True,False,False,True,False,88.0,5.0,8582a041a91e2ad208443103da4a14f8196a440cad9a420f44049870cb828488
Opus-4.6,static,baseline_high,1,001-114244,14,159,0,False,False,True,False,False,True,False,97.0,5.0,1d887606918a2309636ea30f417e9a98dd7c052ebda3e8ab021a4c772627e8ae
Opus-4.6,static,baseline_high,1,001-114273,10,113,0,False,False,True,False,False,True,False,8.0,85.0,f7e683c5ae8ca7988d87640791498232aae5a6c4f48cae6a821528848820cc05
Opus-4.6,static,baseline_high,1,001-114439,8,123,0,False,False,True,False,False,True,False,95.0,5.0,55a041c2cec4ba5849f5ed7bc4e1eaa576a0c1dc8a41808c2e81fa700137d605
Opus-4.6,static,baseline_high,1,001-114473,2,0,0,False,False,True,False,False,True,False,20.0,85.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-114485,5,0,0,False,False,True,False,False,False,True,62.0,15.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-114486,14,129,0,False,False,True,False,False,True,False,8.0,85.0,6360023c5e9cc1136e5503bb36c43e05ceab9f52f4cc2cfe1704cc71163de932
Opus-4.6,static,baseline_high,1,001-114486,8,30,0,False,False,True,False,False,True,False,8.0,85.0,3413c7970154e05f2e12726468fbfdfe48ab186e6f7a8ad428959fed4159f662
Opus-4.6,static,baseline_high,1,001-114492,2,156,0,False,False,True,False,False,True,False,5.0,90.0,e2a86c5c0673855450ee018094cf4e22b9dce83d87b6bdaa2cc98df3abab207f
Opus-4.6,static,baseline_high,1,001-114658,5,219,0,False,False,True,False,False,True,False,97.0,5.0,6d07f8ef64b1d66f0b5ee7be69d39c1a61b94c9296a197593b43fa506149be61
Opus-4.6,static,baseline_high,1,001-115165,8,25,0,False,False,True,False,False,False,True,80.0,10.0,2bce3c0d96193dcd16b5272158aa9891e7195ad94b60eb301dd9912be2ef9476
Opus-4.6,static,baseline_high,1,001-115166,6,25,0,False,False,True,False,False,False,True,90.0,5.0,33ec8d2b98800b7f769c71307b51b552d4af0ff0d7fdcfe1471b003c8c0dbeca
Opus-4.6,static,baseline_high,1,001-115377,8,124,0,False,False,False,True,False,True,True,12.0,12.0,74cd29e0212eb5e93dcc989daa0e0122ff15fb24beec3620ecf06c27b1fbc730
Opus-4.6,static,baseline_high,1,001-115396,3,0,0,False,False,True,False,False,False,True,35.0,85.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-115850,3,24,0,False,False,True,False,False,True,False,88.0,10.0,bf96f3f0dea095ef9f84afaa62560706a117a6a53b74c5c1dad1f7c9558e0668
Opus-4.6,static,baseline_high,1,001-115854,8,24,0,False,False,True,False,False,True,False,33.0,90.0,5aadd042a043ab118a864bf8e576415640d95f69a5c00f73838f1364b1668756
Opus-4.6,static,baseline_high,1,001-115864,8,114,0,False,False,True,False,False,True,False,95.0,5.0,c64ac33f546c2a3d427a634d89d0b32531aad1f2a6e29a4b42df15bd3186436d
Opus-4.6,static,baseline_high,1,001-115876,6,86,0,False,False,True,False,False,True,False,95.0,5.0,06e2df59e0898e835363e2df0c597ea5f3da7a7807cf2667a2a61643c1312064
Opus-4.6,static,baseline_high,1,001-115883,5,0,0,False,False,True,False,False,True,False,87.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-115884,2,177,0,False,False,True,False,False,True,False,97.0,5.0,517007a6ef879e10541bae042753a087a85553d628135ffede2a645def7208fc
Opus-4.6,static,baseline_high,1,001-115885,6,132,0,False,False,True,False,False,True,False,97.0,5.0,976866523e4be66f4eb196a19f9599f6e8a90cc249a759ccb5875c0b858e9b0b
Opus-4.6,static,baseline_high,1,001-115981,3,165,0,False,False,True,False,False,True,False,97.0,5.0,c532e67cb883e66a7b90bb28526a5c5a02dd9f1542e14d26067c474693880cee
Opus-4.6,static,baseline_high,1,001-116827,6,25,0,False,False,True,False,False,True,False,95.0,5.0,f985a016509de176b440942634382a9bde446a4c974589900f63d8c2859d516d
Opus-4.6,static,baseline_high,1,001-117132,3,25,0,False,False,True,False,False,True,False,90.0,5.0,2eab01e2e09ad5c844b6b16f7f3312666333c4d373bf8bd0e7ec5cca2a86792d
Opus-4.6,static,baseline_high,1,001-117134,34,147,0,False,False,True,False,False,True,False,95.0,5.0,dcce2d8288dca59b4951fa3e069daab2323900100ef5034d0e2d6cabbe6907a1
Opus-4.6,static,baseline_high,1,001-118045,6,21,0,False,False,True,False,False,True,False,95.0,5.0,b28ecdd31b6731550bf04ea6adf7204dae6f181a9b0abb8ead3106985c09a7c1
Opus-4.6,static,baseline_high,1,001-118335,5,25,0,False,False,True,False,False,True,False,85.0,5.0,c3fab643187f324a00a8e09784e50b7cfee4024ab6af669985434d99352a2c6e
Opus-4.6,static,baseline_high,1,001-118383,P1-1,182,0,False,False,True,False,False,True,False,97.0,5.0,9d1cf9a1127925ad77962c5bb37a6fc5a5a7612e38e4fee3fa97c1f1d8a1a7eb
Opus-4.6,static,baseline_high,1,001-118388,P1-1,88,0,False,False,True,False,False,True,False,97.0,5.0,1733df7d488d6e36785db9db64f99223560c8bfd0dabcfd9008d2f71be10fb98
Opus-4.6,static,baseline_high,1,001-118590,6,24,0,False,False,True,False,False,True,False,97.0,5.0,8bd162cc51ce8168723fe836979dfa38e15af68cd94d96837f011f4bbd257c87
Opus-4.6,static,baseline_high,1,001-118591,13,24,0,False,False,True,False,False,True,False,75.0,5.0,2d4f76d3497d04c3233dcb6162c7a28b527b99a681374966b07c3f0d6955ce95
Opus-4.6,static,baseline_high,1,001-118592,6,134,0,False,False,True,False,False,True,False,97.0,5.0,11f63b88735d895c85db53407c3e7c05a444f7e836191b54eeaccb605a25f099
Opus-4.6,static,baseline_high,1,001-118647,13,0,0,False,False,True,False,False,True,False,90.0,5.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-118737,6,24,0,False,False,True,False,False,True,False,82.0,10.0,00b51e4a222c2c1719b601b56948d18b4c934a8a80447172704e67853d449c92
Opus-4.6,static,baseline_high,1,001-119049,6,0,0,False,False,True,False,False,True,False,75.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-119055,10,136,0,False,False,False,True,False,True,True,95.0,95.0,c30c58f26af2c674df94610d9d2a86332fc68d203a046af37f563267c3451248
Opus-4.6,static,baseline_high,1,001-119055,8,25,0,False,False,True,False,False,False,True,15.0,95.0,cf73ac8b8ef2f7e917a3003e6e4f0283cc5cbe1a30972fd84f4240ebefe11dc3
Opus-4.6,static,baseline_high,1,001-119465,34,129,0,False,False,True,False,False,True,False,5.0,95.0,b156da9dec1ea7649f254347754acece33123c759cc699ca08e791e60abfcec7
Opus-4.6,static,baseline_high,1,001-119676,5,25,0,False,False,True,False,False,True,False,95.0,5.0,98433735087767a5a69403043c4addc9ec7baf6e9cc9407ef16d5a24de73fd15
Opus-4.6,static,baseline_high,1,001-119688,P1-1,28,0,False,False,True,False,False,True,False,95.0,5.0,4f783e6788586717398c8488c15de5ac7b0fdc0c10933474a58eb7838ff0b05a
Opus-4.6,static,baseline_high,1,001-119968,14,159,0,False,False,True,False,False,True,False,97.0,5.0,feec2d7b1bd73a398d51783f1c72c2bb7e77887cfa2271af64bc3457df923bec
Opus-4.6,static,baseline_high,1,001-119972,6,92,0,False,False,True,False,False,True,False,95.0,5.0,1e6a2edb2407f462309f3519e826162233793c3c1d2d705f6034e7bee67eaca0
Opus-4.6,static,baseline_high,1,001-120067,P1-1,107,0,False,False,True,False,False,True,False,97.0,5.0,b5fc2af7135b3fbb1c39071f435b11b902623bc0db620069e130d540772c66e6
Opus-4.6,static,baseline_high,1,001-120073,3,24,0,False,False,True,False,False,True,False,22.0,90.0,f6cf2342bbf7e5463cb7c6678b848a28f24311d93e90df31513fa85101fa246a
Opus-4.6,static,baseline_high,1,001-120968,6,24,0,False,False,True,False,False,True,False,92.0,5.0,8bd162cc51ce8168723fe836979dfa38e15af68cd94d96837f011f4bbd257c87
Opus-4.6,static,baseline_high,1,001-120969,P1-1,0,0,False,False,True,False,False,False,True,72.0,15.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-121569,3,22,0,False,False,True,False,False,True,False,15.0,85.0,ca4e6c59479721d145406581629e792afd94d7bd29a6b5406a8775d780271716
Opus-4.6,static,baseline_high,1,001-121573,3,24,0,False,False,True,False,False,True,False,30.0,90.0,f6cf2342bbf7e5463cb7c6678b848a28f24311d93e90df31513fa85101fa246a
Opus-4.6,static,baseline_high,1,001-121574,2,161,0,False,False,False,True,False,True,True,3.0,3.0,7ca8970c172b78c57cd10310a16e2deb015f66ead4c02c7b24721ec06264eb22
Opus-4.6,static,baseline_high,1,001-122187,5,24,0,False,False,True,False,False,True,False,95.0,5.0,b360626b8739b0c8f0b0ff4ae6b04a0c94a1a2d16678d49ddd6af82ef06b02aa
Opus-4.6,static,baseline_high,1,001-122429,6,23,0,False,False,True,False,False,False,True,82.0,10.0,37b3acfb15d72321c36edfb8962aadeabd0907cc15d157b88284a465661993e2
Opus-4.6,static,baseline_high,1,001-122434,P1-1,148,0,False,False,True,False,False,True,False,97.0,5.0,530126b15beaed31e9b0bc44a994615afaac50af5e00ffd10bbed9d2043e5896
Opus-4.6,static,baseline_high,1,001-122664,3,132,0,False,False,True,False,False,True,False,95.0,30.0,c63733bb727831ceacba36028aea1c1f2030555b8054f684e2c33ac9577f4eb1
Opus-4.6,static,baseline_high,1,001-122892,P1-1,29,0,False,False,True,False,False,True,False,20.0,85.0,134a410401036bbee7620cf1ef1de8d1e20fbd5ee28d19e06250899ca7455e8e
Opus-4.6,static,baseline_high,1,001-123422,8,156,0,False,False,True,False,False,True,False,95.0,5.0,4361798e24f4950b39d7b88f9f20487a179f82aa1cc6762d1751c0fd3c9f546b
Opus-4.6,static,baseline_high,1,001-123422,P1-1,149,0,False,False,True,False,False,True,False,95.0,5.0,3c22108e220ee42020a31dc297fe1df052fa19027d37011d2db13eaf5e47488e
Opus-4.6,static,baseline_high,1,001-126133,14,132,0,False,False,True,False,False,True,False,97.0,5.0,843ce7423fc6a5bd737f1a71e0b31ae6b671bc4a3677a31c1e60029434af25f0
Opus-4.6,static,baseline_high,1,001-126349,6,154,0,False,False,True,False,False,True,False,97.0,5.0,f6d0bdf72b7dc4f8ee84f629f6bdadb1d36e02a253288a239b74fc91477a4bfc
Opus-4.6,static,baseline_high,1,001-126352,6,0,0,False,False,True,False,False,False,True,65.0,20.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-126360,5,119,0,False,False,True,False,False,True,False,92.0,5.0,213f4a66fd53da413005121d842d1b9e7972b574403841c894fcece3594bf2dd
Opus-4.6,static,baseline_high,1,001-126451,6,0,0,False,False,True,False,False,False,True,72.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-126635,10,157,0,False,False,False,True,False,True,True,3.0,3.0,a92b5adeb4664773ee74a72fd3ba4732f8b6d56eb02ef572eb1897bec807eadc
Opus-4.6,static,baseline_high,1,001-126636,6,21,0,False,False,True,False,False,True,False,95.0,10.0,655829349adf72a16df2e5455637ae0dfadd8f8d4cdd92ecd48bbec7f05a98df
Opus-4.6,static,baseline_high,1,001-126800,13,0,0,False,False,True,False,False,True,False,68.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-126918,13,25,0,False,False,True,False,False,True,False,88.0,5.0,ae2177fb69ef12deb89a9f1beb3553f4a6bec0c43e227d59850703ed68ea12d2
Opus-4.6,static,baseline_high,1,001-127399,3,25,0,False,False,True,False,False,True,False,95.0,5.0,b654d5da21b9bd169501ca999e6172fc9f4e1383a4631022504c0c04235f87da
Opus-4.6,static,baseline_high,1,001-127401,6,0,0,False,False,True,False,False,True,False,28.0,85.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-127410,6,92,0,False,False,True,False,False,True,False,95.0,5.0,d4abd207fdb4210e19dfbc76966a4e3372e239a174143c3c48ffa60ce272bc89
Opus-4.6,static,baseline_high,1,001-127617,P1-1,28,0,False,False,True,False,False,True,False,95.0,5.0,aec0a3f6ba1cfc515f15b7d5a44f4f7ca22089498602cef71750cb4b001b4fb0
Opus-4.6,static,baseline_high,1,001-127809,34,0,0,False,False,True,False,False,False,True,72.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-127812,6,24,0,False,False,True,False,False,True,False,90.0,5.0,00b51e4a222c2c1719b601b56948d18b4c934a8a80447172704e67853d449c92
Opus-4.6,static,baseline_high,1,001-128040,P1-1,23,0,False,False,True,False,False,True,False,97.0,5.0,703a795fc4116393a8cf480998f474b3b52bbf96c067b27984f83e7a8f7833b4
Opus-4.6,static,baseline_high,1,001-128204,8,0,0,False,False,True,False,False,False,True,82.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-138558,13,24,0,False,False,True,False,False,True,False,95.0,5.0,d59c704dd176f9b86467867d033aba997f2d39c2aaccede830731e2f6cd29bfe
Opus-4.6,static,baseline_high,1,001-138597,2,139,0,False,False,True,False,False,True,False,15.0,90.0,d6cb4a59a95e41ccb465087e08ccb75184715493297aa212fa15cda660b16e47
Opus-4.6,static,baseline_high,1,001-138919,6,0,0,False,False,True,False,False,True,False,20.0,85.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-139175,3,25,0,False,False,True,False,False,True,False,22.0,85.0,aadab65930172e87e10e2d92c87ee7f2b1431862bbad797db218f54adf9855a1
Opus-4.6,static,baseline_high,1,001-139897,3,93,0,False,False,True,False,False,True,False,95.0,5.0,6b80c3f8324d832d64162cb8b4f6c9e7e2662315a169261fbcab13e9d38090cf
Opus-4.6,static,baseline_high,1,001-139897,5,0,0,False,False,True,False,False,True,False,82.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-139995,3,25,0,False,False,True,False,False,True,False,25.0,90.0,6b8c29f1cb49bc714339254643b983c53ba0b7f4dad6b38a6ad0ac11d560aafa
Opus-4.6,static,baseline_high,1,001-140020,2,0,0,False,False,True,False,False,False,True,62.0,8.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-140028,6,0,0,False,False,True,False,False,True,False,65.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-140235,3,192,0,False,False,False,True,False,True,True,95.0,95.0,5ce21dd011a56317c89d912e0ae8f196595870f0b17bec0b7666b4fb039334c9
Opus-4.6,static,baseline_high,1,001-140239,6,24,0,False,False,True,False,False,True,False,78.0,15.0,8bd162cc51ce8168723fe836979dfa38e15af68cd94d96837f011f4bbd257c87
Opus-4.6,static,baseline_high,1,001-140769,6,25,0,False,False,True,False,False,True,False,95.0,5.0,33ec8d2b98800b7f769c71307b51b552d4af0ff0d7fdcfe1471b003c8c0dbeca
Opus-4.6,static,baseline_high,1,001-140782,13,0,0,False,False,True,False,False,True,False,72.0,5.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-140785,3,124,0,False,False,False,True,False,True,True,92.0,92.0,817b41f4bed38d31312da12e1768ce42745d76234e0bf97fb92942b075613a92
Opus-4.6,static,baseline_high,1,001-141434,5,26,0,False,False,True,False,False,True,False,92.0,5.0,1285cc15e591207c2f30ad83838573392b0fe6818e71aab6da904beaae74f7d2
Opus-4.6,static,baseline_high,1,001-141629,13,24,0,False,False,True,False,False,True,False,95.0,5.0,2d4f76d3497d04c3233dcb6162c7a28b527b99a681374966b07c3f0d6955ce95
Opus-4.6,static,baseline_high,1,001-141635,3,25,0,False,False,True,False,False,True,False,78.0,10.0,1e0b2a4bdec6c7a4b78e496549258d76088d19834cc12f42bca949909c8c81cf
Opus-4.6,static,baseline_high,1,001-141635,6,25,0,False,False,True,False,False,True,False,82.0,5.0,a989c68a20e1200061bd9f65b5fc84f5617b329b369836a0edfc1d705bb10868
Opus-4.6,static,baseline_high,1,001-141644,6,119,0,False,False,True,False,False,False,True,82.0,10.0,ef7d04a9e8505a91727046f06bf20987bf19d7a50171f5278bba04f9921160ca
Opus-4.6,static,baseline_high,1,001-141668,8,48,0,False,False,True,False,False,True,False,5.0,85.0,b3ce26a619813bd53d6f1b7c75b45eb1ff4bb75b55f7edbc416c46f71f0ee4b5
Opus-4.6,static,baseline_high,1,001-141910,6,22,0,False,False,True,False,False,True,False,97.0,5.0,650144085bf323ae179c3a70aa3dc694236aaa39500b41055bf55ed081d3626d
Opus-4.6,static,baseline_high,1,001-141933,13,0,0,False,False,True,False,False,True,False,70.0,10.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-141933,6,126,0,False,False,True,False,False,True,False,97.0,5.0,7bc649009ad680c17f47bbc1fc75fdf009a47fd100334685932d5268f160c1f8
Opus-4.6,static,baseline_high,1,001-141943,6,21,0,False,False,True,False,False,True,False,95.0,5.0,208c460004e875e2d66cdbcd355a75fe4f8505805815c17615c88a51a1a32f98
Opus-4.6,static,baseline_high,1,001-142082,13,0,0,False,False,True,False,False,True,False,87.0,5.0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
Opus-4.6,static,baseline_high,1,001-142185,6,120,0,False,False,True,False,False,True,False,97.0,5.0,c4456728efba208c48d5510cc9a4aadba7f79c3a652033cf84a5d31d3235a5ed
