case_name,article,violation_label,avg_rating,is_accurate,num_abstentions,num_samples,sample_ratings
CASE OF ZVONAR v. UKRAINE,P1-1,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF N.T. v. CYPRUS,3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF SAKELLARIS AND OTHERS v. GREECE,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF RADELIĆ v. CROATIA,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MARZOUKI AND OTHERS v. BULGARIA,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF KAROVIĆ AND OTHERS v. BOSNIA AND HERZEGOVINA,P1-1,no_violation,1.7,False,1,10,"[1, 1, 2, 1, 1, 3, 1, 5, 1, 1]"
CASE OF MENDIETA BORREGO v. SPAIN,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF RUTKAUSKAS v. LITHUANIA,9,violation,1.2,True,1,10,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF STOJEVIĆ v. CROATIA,P1-1,violation,2.6,True,0,10,"[1, 1, 4, 4, 2, 4, 4, 2, 2, 2]"
CASE OF FORTUZI v. ALBANIA,6,violation,1.3,True,0,10,"[2, 1, 2, 1, 1, 1, 1, 2, 1, 1]"
CASE OF K.V. MEDITERRANEAN TOURS LIMITED v. TÜRKİYE,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF HEINZ AND HAIDERER v. AUSTRIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF CONSTANTINOU AND OTHERS v. CYPRUS,P1-1,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF PÁPICS AND OTHERS v. HUNGARY,3,violation,1.2,True,0,10,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 2]"
CASE OF VERVELE v. GREECE,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF VAINIK AND OTHERS v. ESTONIA,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"CASE OF MEDIAKOMPANIYA SLOVO, TOV AND OTHERS v. UKRAINE",10,no_violation,4.9,True,0,10,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF GEORGIOS PAPADOPOULOS v. CYPRUS,P1-3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF A.R. v. THE UNITED KINGDOM,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF A.J. AND L.E. v. SPAIN,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF A.R.E. v. GREECE,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF LUBARDA AND MILANOV v. SERBIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF RADCHENKO v. UKRAINE,10,no_violation,1.0,False,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ANDERSEN v. POLAND,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF N.T. v. CYPRUS,14,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF B.A. v. ICELAND,3,no_violation,3.9,True,2,10,"[4, 5, 5, 3, 1, 4, 5, 4, 5, 3]"
CASE OF ZAFFERANI AND OTHERS v. SAN MARINO,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF PANOPOULOU AND OTHERS v. GREECE,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF CHONIN AND OTHERS v. BULGARIA,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF SAKELLARIS AND OTHERS v. GREECE,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF LASKU AND OTHERS v. ALBANIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF PETROSYAN v. ARMENIA,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF SADIGOV v. AZERBAIJAN,P1-1,violation,1.3,True,0,10,"[1, 1, 2, 1, 1, 1, 1, 2, 2, 1]"
CASE OF ČERNÝ AND OTHERS v. THE CZECH REPUBLIC,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF KYRIAN v. THE CZECH REPUBLIC,8,no_violation,4.9,True,0,10,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
CASE OF I.C. v. THE REPUBLIC OF MOLDOVA,4,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF HORA v. THE UNITED KINGDOM,P1-3,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF B.A. v. ICELAND,14,no_violation,4.2,True,0,10,"[5, 4, 5, 4, 4, 4, 2, 5, 5, 4]"
CASE OF TSATANI v. GREECE,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF AYALA FLORES v. ITALY,8,no_violation,4.8,True,0,10,"[5, 5, 5, 5, 5, 5, 4, 4, 5, 5]"
CASE OF ASLAN AND OTHERS v. TÜRKİYE,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MONTEIRO AND TRINTA SANTOS v. PORTUGAL,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF FEDERICI v. FRANCE,6,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"CASE OF SHIPS WASTE OIL COLLECTOR B.V. AND OTHERS v. THE NETHERLANDS

",13,no_violation,3.7,True,0,10,"[2, 4, 1, 5, 5, 2, 4, 4, 5, 5]"
CASE OF FTITI v. GREECE,P7-2,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MALGAZHDAROV AND OTHERS v. RUSSIA,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF M.L. v. NORTH MACEDONIA,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF KASHBULLINA AND OTHERS v. RUSSIA,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF VERVELE v. GREECE,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF Á.F.L. v. ICELAND,14,no_violation,4.6,True,0,10,"[5, 5, 5, 5, 5, 5, 2, 5, 4, 5]"
CASE OF ABBATE AND OTHERS v. ITALY,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ARVANITIS AND PHILELEFTHEROS PUBLIC COMPANY LIMITED v. CYPRUS,10,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF UMID-T LLC v. AZERBAIJAN,P1-1,violation,1.3,True,1,10,"[1, 1, 1, 1, 1, 3, 1, 2, 1, 1]"
CASE OF VAINIK AND OTHERS v. ESTONIA,41,violation,1.2,True,0,10,"[2, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
CASE OF HAGYÓ v. HUNGARY,13,violation,3.1,False,1,10,"[2, 1, 1, 5, 5, 2, 2, 3, 5, 5]"
CASE OF PYRANTIENĖ v. LITHUANIA,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MOHAMMED v. AUSTRIA,3,no_violation,4.7,True,0,10,"[5, 5, 5, 5, 5, 5, 2, 5, 5, 5]"
CASE OF BELTRAM AND BELTRAM CEROVŠEK v. SLOVENIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF BRZUSZCZYŃSKI v. POLAND,6,no_violation,2.4,False,0,10,"[2, 1, 5, 2, 5, 1, 5, 1, 1, 1]"
CASE OF INSANOV v. AZERBAIJAN,3,violation,1.9,True,2,10,"[2, 1, 2, 2, 2, 1, 1, 2, 3, 3]"
CASE OF N.M.B. v. SWEDEN,3,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF SIZAREV v. UKRAINE,5,violation,1.1,True,0,10,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MOSKALENKO AND OTHERS v. UKRAINE,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF JEZNIK v. SLOVENIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF QAMA v. ALBANIA AND ITALY,8,no_violation,2.6,False,1,10,"[4, 2, 2, 1, 2, 3, 4, 2, 2, 4]"
CASE OF TARASOV v. UKRAINE,3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ROZHENKO AND OTHERS v. UKRAINE,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF JASHI v. GEORGIA,3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ABDI v. THE UNITED KINGDOM,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF TOMIĆ AND OTHERS v. BOSNIA AND HERZEGOVINA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF SCHÄDLER-EBERLE v. LIECHTENSTEIN,6,no_violation,3.9,True,3,10,"[1, 4, 5, 3, 5, 5, 5, 3, 5, 3]"
CASE OF RUDNICHENKO v. UKRAINE,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"CASE OF PAPADAKIS v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF GAVULA v. UKRAINE,34,no_violation,4.8,True,1,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
CASE OF MAJS EKSPORT-IMPORT v. SERBIA,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MIJANOVIĆ v. MONTENEGRO,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF EREMIA v. THE REPUBLIC OF MOLDOVA,14,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF TUNCER GÜNEŞ v. TURKEY,14,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ROMAN v. FINLAND,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"CASE OF GRUPA ZASTAVA VOZILA, A.D. v. SLOVENIA",6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF N.M.Y. AND OTHERS v. SWEDEN,3,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF BELOUSOV v. UKRAINE,8,violation,1.7,True,0,10,"[1, 1, 1, 2, 2, 2, 1, 2, 4, 1]"
CASE OF LAY  LAY COMPANY LIMITED v. MALTA,P1-1,no_violation,4.7,True,0,10,"[4, 5, 5, 5, 4, 5, 5, 4, 5, 5]"
CASE OF CLAES v. BELGIUM [Extracts],3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF BUDREVICH v. THE CZECH REPUBLIC,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF JULIUS KLOIBER SCHLACHTHOF GMBH AND OTHERS v. AUSTRIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ZEYNALOV v. AZERBAIJAN,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF VILNES AND OTHERS v. NORWAY,2,no_violation,4.9,True,0,10,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF DE LUCA v. ITALY (extracts),6,violation,4.0,False,1,10,"[1, 5, 5, 5, 5, 3, 5, 5, 1, 5]"
CASE OF GERASHCHENKO v. UKRAINE,34,no_violation,1.2,False,0,10,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1]"
"CASE OF VELINOV v. ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA""",5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF VARAVA AND OTHERS v. UKRAINE,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF KONONOVA v. UKRAINE,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MATRAKAS AND OTHERS v. POLAND AND GREECE,6,violation,1.2,True,1,10,"[1, 1, 1, 3, 1, 1, 1, 1, 1, 1]"
CASE OF D.N.M. v. SWEDEN,2,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF DELFI AS v. ESTONIA,10,no_violation,4.8,True,1,10,"[3, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF DONOHOE v. IRELAND,6,no_violation,4.9,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 4, 5, 5]"
CASE OF SAINT-PAUL LUXEMBOURG S.A. v. LUXEMBOURG,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF KRISTIANSEN AND TYVIK AS v. NORWAY,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF TRUNK v. SLOVENIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF PUTISTIN v. UKRAINE,8,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF BANDALETOV v. UKRAINE,6,no_violation,2.0,False,0,10,"[2, 1, 1, 5, 2, 2, 2, 2, 2, 1]"
CASE OF OROŽIM v. SLOVENIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ROUSK v. SWEDEN,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF KOMAROVA v. UKRAINE,5,violation,1.4,True,0,10,"[1, 1, 1, 1, 1, 1, 5, 1, 1, 1]"
"CASE OF GRUPA ZASTAVA VOZILA, A.D. v. SLOVENIA",13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF VINTER AND OTHERS v. THE UNITED KINGDOM,3,violation,1.4,True,0,10,"[1, 1, 1, 5, 1, 1, 1, 1, 1, 1]"
CASE OF MAKSYMENKO AND GERASYMENKO v. UKRAINE,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF T.A. v. SWEDEN,3,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF SARDÓN ALVIRA v. SPAIN,6,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF VLAD AND OTHERS v. ROMANIA,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ZAROCHENTSEV v. UKRAINE,P4-2,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF SALAKHOV AND ISLYAMOVA v. UKRAINE,34,violation,2.8,True,0,10,"[1, 5, 1, 1, 5, 2, 2, 1, 5, 5]"
CASE OF KLINOVSKÁ v. SLOVAKIA,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF YURIY SLYUSAR v. UKRAINE,2,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF SAINT-PAUL LUXEMBOURG S.A. v. LUXEMBOURG,10,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ROONEY v. IRELAND,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ROUSK v. SWEDEN,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF LAVRECHOV v. THE CZECH REPUBLIC,P1-1,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF MEŽNARIČ v. SLOVENIA,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF TERNOVIK AND OTHERS v. UKRAINE,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF VARAPNICKAITE-MAZYLIENE v. LITHUANIA,8,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF RRAPO v. ALBANIA,2,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF SCOPPOLA v. ITALY (No. 3),P1-3,no_violation,1.8,False,0,10,"[1, 1, 5, 1, 1, 1, 1, 1, 1, 5]"
CASE OF M. AND OTHERS v. ITALY AND BULGARIA,3,no_violation,1.0,False,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF JULIN v. ESTONIA,3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF AUSTIN AND OTHERS v. THE UNITED KINGDOM,5,no_violation,4.0,True,0,10,"[5, 4, 5, 5, 5, 5, 2, 2, 5, 2]"
CASE OF HODE AND ABDI v. THE UNITED KINGDOM,14,violation,1.4,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 5, 1, 1]"
CASE OF DIMITAR IVANOV v. BULGARIA,P4-2,violation,1.5,True,0,10,"[1, 1, 1, 1, 5, 1, 1, 1, 1, 2]"
CASE OF WENERSKI v. POLAND (No. 2),3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF H. v. FINLAND,14,no_violation,4.6,True,0,10,"[5, 1, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF DRAKSAS v. LITHUANIA,8,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF LEVIN v. SWEDEN,8,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF G v. GERMANY,7,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF ANDREŞAN v. ROMANIA,3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF TONIOLO v. SAN MARINO AND ITALY,5,violation,1.8,True,0,10,"[1, 1, 2, 4, 2, 1, 1, 1, 1, 4]"
CASE OF TARBUK v. CROATIA,6,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF BALL v. ANDORRA,8,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF HARKINS AND EDWARDS v. THE UNITED KINGDOM,3,no_violation,4.5,True,0,10,"[4, 4, 4, 4, 5, 5, 5, 5, 4, 5]"
CASE OF SÝKORA v. THE CZECH REPUBLIC,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF HARROUDJ v. FRANCE,8,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF MILIĆ v. MONTENEGRO AND SERBIA,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF PETA DEUTSCHLAND v. GERMANY,10,no_violation,4.6,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 1, 5, 5]"
CASE OF FALTER ZEITSCHRIFTEN GMBH v. AUSTRIA (No. 2),10,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF VAN COLLE v. THE UNITED KINGDOM,2,no_violation,4.6,True,0,10,"[5, 5, 1, 5, 5, 5, 5, 5, 5, 5]"
CASE OF MALKHASYAN v. ARMENIA,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MADAH AND OTHERS v. BULGARIA,13,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF GENDERDOC-M v. MOLDOVA,14,violation,2.5,True,0,10,"[1, 5, 1, 5, 1, 5, 4, 1, 1, 1]"
CASE OF HARTMAN v. SLOVENIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF KOTSEV AND ERMENKOVA v. BULGARIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF JIRSÁK v. THE CZECH REPUBLIC,3,no_violation,2.0,False,0,10,"[5, 1, 5, 2, 1, 1, 1, 2, 1, 1]"
CASE OF SHUVALOV v. ESTONIA,6,no_violation,1.3,False,0,10,"[1, 2, 1, 2, 2, 1, 1, 1, 1, 1]"
CASE OF SETA v. GREECE AND GERMANY,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF LEVINTA v. MOLDOVA (No. 2),5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF YAVUZDOGAN v. TURKEY,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF MICHAUD v. FRANCE,8,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF MURTIĆ AND ĆERIMOVIĆ v. BOSNIA AND HERZEGOVINA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF HATİCE DUMAN v. TURKEY,5,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF I.G. AND OTHERS v. SLOVAKIA,3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF DADIANI AND MACHABELI v. GEORGIA,6,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF EPNERS-GEFNERS v. LATVIA,8,no_violation,3.7,True,1,10,"[2, 5, 4, 5, 4, 2, 5, 3, 2, 5]"
CASE OF PAWEŁ PAWLAK v. POLAND,3,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF STANDARD VERLAGS GMBH v. AUSTRIA (No. 3),10,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF TONOV AND OTHERS v. BULGARIA,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF VIKULOV AND OTHERS  v. LATVIA,3,no_violation,3.8,True,0,10,"[5, 2, 5, 2, 5, 2, 5, 2, 5, 5]"
CASE OF TELEGRAAF MEDIA NEDERLAND LANDELIJKE MEDIA B.V. AND OTHERS v. THE NETHERLANDS,8,violation,1.4,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 5, 1, 1]"
CASE OF BOULOIS v. LUXEMBOURG,6,no_violation,5.0,True,0,10,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
CASE OF SARKIZOV AND OTHERS v. BULGARIA,P4-2,violation,2.1,True,0,10,"[1, 1, 4, 1, 1, 2, 1, 5, 1, 4]"
CASE OF MANUSHAQE PUTO AND OTHERS v. ALBANIA,P1-1,violation,1.0,True,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
CASE OF CATAN AND OTHERS v. THE REPUBLIC OF MOLDOVA AND RUSSIA,P1-2,no_violation,1.0,False,0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
