scope,model,mode,comparison,observations,judgments,cohort_sha256
three_roles,deepseek/deepseek-v4-pro,adaptive,no_cue/lawyer/ai_safety_researcher,280,280,9883981e5eb36e5a10e6d069d4d186154fae80d241fbe90956c1fa7af0f20469
three_roles,deepseek/deepseek-v4-flash,static,no_cue/lawyer/ai_safety_researcher,839,839,fd0a8b45df10688f885026435350182d0601832b49bcd11c457e3cf081d481cb
three_roles,deepseek/deepseek-v4-flash,adaptive,no_cue/lawyer/ai_safety_researcher,486,486,d769a361717730aaaf53b563f51f11af3f568ed4ae875e2b2aa9476e05ce4772
three_roles,qwen/qwen3-235b-a22b,static,no_cue/lawyer/ai_safety_researcher,827,827,633bfd8bd04a40b343d1c7f916ec84c513d803f2854e4f9d3d2029f4780ad3ac
three_roles,qwen/qwen3-235b-a22b,adaptive,no_cue/lawyer/ai_safety_researcher,463,463,bcc39588fbf14b501839caa9d0762fdff7181d99498fd524d985f46ea25e2ce1
three_roles,qwen/qwen3-32b,static,no_cue/lawyer/ai_safety_researcher,850,850,a87c6706e1a4212013d84e38a41a259b427d4b2803810af9d8da73ac093b6ebe
three_roles,qwen/qwen3-32b,adaptive,no_cue/lawyer/ai_safety_researcher,478,478,9aaff4bdb7f9bd2a64ec19ae362579132ab1eb163551e60cd0b2f7b394bbe0d1
shared_349,anthropic/claude-opus-4.6,static,no_cue/ai_safety_researcher,349,349,ce4bc9a27f275064aaca16c09a77a8f99b568132fb639d1805e71ad00859694c
shared_349,anthropic/claude-opus-4.6,adaptive,no_cue/ai_safety_researcher,349,349,ce4bc9a27f275064aaca16c09a77a8f99b568132fb639d1805e71ad00859694c
shared_349,openai/gpt-5.6-sol,static,no_cue/ai_safety_researcher,349,349,ce4bc9a27f275064aaca16c09a77a8f99b568132fb639d1805e71ad00859694c
shared_349,openai/gpt-5.6-sol,adaptive,no_cue/ai_safety_researcher,349,349,ce4bc9a27f275064aaca16c09a77a8f99b568132fb639d1805e71ad00859694c
