model,label,contrast,cohort_sha256,rule,n,judgments,final_correct_pp,strict_reversal_pp,opposes_original_verdict_pp,final_abstention_pp,final_correct_lower_95,final_correct_upper_95,strict_reversal_lower_95,strict_reversal_upper_95,opposes_original_verdict_lower_95,opposes_original_verdict_upper_95,final_abstention_lower_95,final_abstention_upper_95
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,adaptive_minus_static,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81,band_40_60,7764,875,4.662545079855744,-11.038124678001031,-11.038124678001031,1.1591962905718702,3.5361806678587424,5.804919778437348,-11.99116609468071,-10.11272617669697,-11.99116609468071,-10.11272617669697,0.8985207829180473,1.428936035170493
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,adaptive_minus_static,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81,band_45_55,7764,875,4.984544049459042,-10.625965996908809,-10.625965996908809,0.5667181865018033,3.873274636106792,6.116848481750432,-11.59782638243191,-9.696942127277454,-11.59782638243191,-9.696942127277454,0.39055054957035795,0.7624019985667713
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,adaptive_minus_static,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81,band_35_65,7764,875,4.456465739309634,-10.883565172591448,-11.385883565172591,1.6228748068006182,3.319829625420026,5.590683357112109,-11.828257776226296,-9.928202804212278,-12.365843446003693,-10.430862321712555,1.3358466994896672,1.9395084453432971
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,adaptive_minus_static,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81,binary_50_tie_violation,7764,875,5.4095826893353935,-10.484286450283358,-10.484286450283358,0.0,4.30216068596499,6.549680263151168,-11.451655552540249,-9.563699233515193,-11.451655552540249,-9.563699233515193,0.0,0.0
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,adaptive_minus_static,8283996f6ecee5f348d8a8d30294cd9327bf81c595cd8a31709fd1c9385ccb81,binary_50_tie_no_violation,7764,875,5.048943843379701,-10.123647604327667,-10.123647604327667,0.0,3.9423056066174658,6.203612648961884,-11.065246779106593,-9.213433878798254,-11.065246779106593,-9.213433878798254,0.0,0.0
qwen/qwen3-235b-a22b,Qwen3-235B,adaptive_minus_static,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709,band_40_60,7582,835,3.0203112635188605,-14.08599314165128,-14.08599314165128,3.1390134529147984,1.5793537672036675,4.47872858855004,-15.438146500430237,-12.851160159605838,-15.438146500430237,-12.851160159605838,2.6803662656423244,3.6475052853369263
qwen/qwen3-235b-a22b,Qwen3-235B,adaptive_minus_static,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709,band_45_55,7582,835,3.745713532049591,-12.92534951200211,-12.92534951200211,1.4376154049063572,2.3377688440133877,5.213592265170335,-14.255883567511077,-11.70592846858046,-14.255883567511077,-11.70592846858046,1.1509140698486966,1.728926875224744
qwen/qwen3-235b-a22b,Qwen3-235B,adaptive_minus_static,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709,band_35_65,7582,835,2.9675547348984437,-14.112371405961488,-14.21788446320232,3.310472170931153,1.5179128274213527,4.414394718076146,-15.465444243531785,-12.857698606592379,-15.566548673756703,-12.974320862263966,2.8363690328624913,3.846728514251652
qwen/qwen3-235b-a22b,Qwen3-235B,adaptive_minus_static,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709,binary_50_tie_violation,7582,835,4.6821419150619885,-12.410973357953047,-12.410973357953047,0.0,3.2508551462336768,6.117397360817271,-13.66951874352437,-11.252193497009424,-13.66951874352437,-11.252193497009424,0.0,0.0
qwen/qwen3-235b-a22b,Qwen3-235B,adaptive_minus_static,d5fcac152b87b4a8118078ff42f52d5210c1b14e8ab069fcf164c89269563709,binary_50_tie_no_violation,7582,835,4.233711421788446,-12.015299393299921,-12.015299393299921,0.0,2.800595452299041,5.743423523705158,-13.326586661038059,-10.820053010769799,-13.326586661038059,-10.820053010769799,0.0,0.0
qwen/qwen3-32b,Qwen3-32B,adaptive_minus_static,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f,band_40_60,7728,883,0.2587991718426501,-7.712215320910973,-7.712215320910973,2.562111801242236,-0.729339840024019,1.272174726773605,-8.729379810900053,-6.760435836151212,-8.729379810900053,-6.760435836151212,2.158636410334358,2.982140909322999
qwen/qwen3-32b,Qwen3-32B,adaptive_minus_static,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f,band_45_55,7728,883,0.8022774327122154,-6.741718426501035,-6.741718426501035,1.2163561076604554,-0.1675380544196973,1.8072064133776775,-7.729423071862125,-5.837131040924608,-7.729423071862125,-5.837131040924608,0.9323948966621157,1.521205934231492
qwen/qwen3-32b,Qwen3-32B,adaptive_minus_static,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f,band_35_65,7728,883,0.09057971014492754,-7.919254658385093,-8.035714285714286,3.0150103519668736,-0.8902307090045148,1.1005467348060682,-8.939013933788482,-6.942333210910356,-9.049919829639485,-7.061664533776938,2.583102282540658,3.4577028665710685
qwen/qwen3-32b,Qwen3-32B,adaptive_minus_static,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f,binary_50_tie_violation,7728,883,1.746894409937888,-6.45703933747412,-6.45703933747412,0.0,0.716733510287763,2.800756111868325,-7.444510703018116,-5.553358039983867,-7.444510703018116,-5.553358039983867,0.0,0.0
qwen/qwen3-32b,Qwen3-32B,adaptive_minus_static,2476da22f70d2f8b23eed5ba681cf7ff583dcc17fdb775d7126dfc3e6cc7c46f,binary_50_tie_no_violation,7728,883,1.0351966873706004,-5.745341614906832,-5.745341614906832,0.0,0.05144265864175217,2.038876064236984,-6.71113687257056,-4.851603305095355,-6.71113687257056,-4.851603305095355,0.0,0.0
